area,areaid,areatype,areatypeid,regionid,regiontype,regiontypeid,locationid,locationtype,locationtypeid,positionid,positiontype,positiontypeid,sequence,uuid,region,major,location,minor,proximity,calibration,position,keyword,localization,interaction,dbeaconid,segue
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,ANY,Anywhere,ANY,4469736E-6579-426B-6E31-3333374D4B50:8:0,Anywhere,ANY,0,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,8,Interactive ,0,immediate,,Entrance,unknown,,Placeholder for future work,,
Anywhere,ANY,Anywhere,ANY,ANY,Anywhere,ANY,ANY,Anywhere,ANY,5B65BD14-81FE-4E06-A988-98E8929213B3::,Anywhere,ANY,0,5B65BD14-81FE-4E06-A988-98E8929213B3,Brian's iBeacon,,Brian's Computer (usually),,immediate,-72,Anywhere,notification,0,Indicates when Brian's beacon is immediate you,,brianpc
Animal Kingdom,AK,Theme Park,TP,AK,Theme Park,TP,BOMA,Restaurant,FOOD,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0:1:2,Anywhere,ANY,0,E2C56DB5-DFFB-48D2-B060-D0F5A71096E0,Boma,1,Could be anywhere,2,immediate,,Anywhere,notification,,Displays Boma placard,,UnusedSegue
Anywhere,ANY,Anywhere,ANY,ANY,Anywhere,ANY,ANY,Anywhere,ANY,3AA037D9-1D55-4F89-B273-92D71874A2F2::,Anywhere,ANY,0,3AA037D9-1D55-4F89-B273-92D71874A2F2,Global Reset,,Usually a handheld,,far,Anywhere,Anywhere,reset,"Whenever this one is detected, reset all notification flags on all beacons",,,
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,NFE,Entrance,ENTER,4469736E-6579-426B-6E31-3333374D4B50:2:0,Entrance,ENTER,1,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,2,Castle to New Fantasyland Gates ,0,near,,Entrance,notification,Welcome ## to New Fantasyland!,Alert/Pooh FP in 15min,,entryNotificationOnly
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,POOH,Attraction,ATTR,4469736E-6579-426B-6E31-3333374D4B50:1:12,Entrance,ENTER,2,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,1,The Many Adventures of Winnie the Pooh,12,immediate,,Entrance at Tree,passbook,,Pooh FP Now,,
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,POOH,Attraction,ATTR,4469736E-6579-426B-6E31-3333374D4B50:1:14,Queue,Q,3,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,1,The Many Adventures of Winnie the Pooh,14,immediate,,Queue,notification,"While you're waiting, Pooh's friend Lumpy can help you find the Heffalump hiding in your imagination!",Slide to Play,,queueentertainmentP
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,POOH,Attraction,ATTR,4469736E-6579-426B-6E31-3333374D4B50:1:0,Captioning,CAP,4,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,1,The Many Adventures of Winnie the Pooh,0,immediate,,Unload Console,caption,Handheld Captioning available,Captioning,0701370A,captioning
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,POOH,Attraction,ATTR,4469736E-6579-426B-6E31-3333374D4B50:1:13,Exit,EXIT,4,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,1,The Many Adventures of Winnie the Pooh,13,immediate,,Exit Shop Shelf,offer,Rate it!  How did you like the Many Adventures of Winnie the Pooh?,Pooh Rate It/PVH offer (conditional),,rating
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,VH,Restaurant,DINE,4469736E-6579-426B-6E31-3333374D4B50:3:0,Entrance,ENTER,5,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,3,Village Haus ,0,immediate,,Entrance,notification,,Filtered menu,,pinocchio
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,VH,Restaurant,DINE,4469736E-6579-426B-6E31-3333374D4B50:3:1,POS Station,POS,6,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,3,Village Haus ,1,immediate,,Counter,passbook,,Display passbook coupon if exists,,pinocchiooffer
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,SDMT,Attraction,ATTR,4469736E-6579-426B-6E31-3333374D4B50:4:0,Entrance,ENTER,7,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,4,Runaway Mine Train,0,immediate,,Entrance,passbook,,Fastpass Now,,
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,SDMT,Attraction,ATTR,4469736E-6579-426B-6E31-3333374D4B50:4:1,Queue,Q,8,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,4,Runaway Mine Train,1,immediate,,Queue,notification,Let's play a game with the Seven Dwarfs,Queue Entertainment,,queueentertainmentMT
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,SDMT,Attraction,ATTR,4469736E-6579-426B-6E31-3333374D4B50:4:2,Exit,EXIT,9,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,4,Runaway Mine Train,2,immediate,,Exit,social,Would you like to send your Memory Maker photo from the Seven Dwarfs Mine Train to your Facebook account?,Send photo or msg to Facebook,,facebook
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,BOG,Restaurant,FOOD,4469736E-6579-426B-6E31-3333374D4B50:5:1,Table,TABLE,11,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,5,Be Our Guest,1,immediate,,Table 1,notification,Check out your MemoryMaker photos from today!,view photos,,pictures
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,BOG,Restaurant,DINE,4469736E-6579-426B-6E31-3333374D4B50:5:2,Exit,EXIT,12,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,5,Be Our Guest,2,immediate,,Exit,offer,A special offer for Bonjour! Village Gifts,Receive Bonjour Special Discount,,bon
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,GASTON,Restaurant,DINE,4469736E-6579-426B-6E31-3333374D4B50:6:0,Meet & Greet,MEET,13,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,6,Gaston ,0,immediate,,Meet & Greet Location,notification,A visit with Gaston is not to be missed! You can find him immediate Gaston's Tavern right now.,Notification Gaston is present,,character
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,BONJOUR,Store,STORE,4469736E-6579-426B-6E31-3333374D4B50:7:0,Entrance,ENTER,14,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,7,Bonjour! Village Gifts ,0,immediate,,Entrance,passbook,,Display passbook coupon if exists,,
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,ANY,Anywhere,ANY,4469736E-6579-426B-6E31-3333374D4B50:8:0,Anywhere,ANY,15,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,8,Office,0,immediate,,Entrance,unknown,,,,
Magic Kingdom,MK,Theme Park,TP,NF,Land,LAND,ANY,Anywhere,ANY,4469736E-6579-426B-6E31-3333374D4B50:8:1,Anywhere,ANY,15,4469736E-6579-426B-6E31-3333374D4B50,New Fantasyland,8,Office,1,immediate,,Entrance,unknown,,,,
